Budaya,Jenis,Deskripsi,Kota,Provinsi,Rating
Batik Madura,Kerajinan,Batik berwarna cerah dengan motif khas.,Bangkalan,Jawa Timur,3.7
Debus,Tradisi,Pertunjukan kekebalan tubuh ekstrem.,Serang,Banten,4.9
Rampak Bedug,Musik,Pertunjukan sinkronisasi bedug besar.,Pandeglang,Banten,4.6
Tari Cokek,Tari,Tari pergaulan khas etnis Tionghoa-Banten.,Tangerang,Banten,3.9
Uli Sera,Kuliner,Makanan khas Baduy dari ketan dan kelapa.,Lebak,Banten,3.7
Kue Jojorong,Kuliner,Kue basah manis dari tepung beras dan gula merah.,Pandeglang,Banten,4.9
Tari Bedhaya,Tari,Tari sakral keraton dengan gerakan lambat.,Yogyakarta,DI Yogyakarta,3.6
Wayang Orang,Kesenian,Pertunjukan wayang yang diperankan oleh manusia.,Yogyakarta,DI Yogyakarta,4.9
Batik Jogja,Kerajinan,Batik khas dengan warna hitam putih dan motif keraton.,Yogyakarta,DI Yogyakarta,4.5
Gudeg,Kuliner,Makanan manis dari nangka muda.,Yogyakarta,DI Yogyakarta,4.6
Geplak,Kuliner,Permen kelapa warna-warni khas Jogja.,Bantul,DI Yogyakarta,4
Tari Kecak,Tari,Tari dengan suara vokal 'cak' tanpa alat musik.,Gianyar,Bali,4.8
Tari Barong,Tari,Tari pertarungan kebaikan dan kejahatan.,Gianyar,Bali,4.3
Ogoh-ogoh,Tradisi,Patung raksasa diarak menjelang Nyepi.,Denpasar,Bali,3.8
Subak,Tradisi,Sistem irigasi tradisional Bali berbasis spiritual.,Tabanan,Bali,4.1
Canang Sari,Tradisi,Persembahan harian masyarakat Hindu Bali.,Ubud,Bali,4.8
Tari Legong,Tari,Tari klasik dengan gerakan halus dan rumit.,Ubud,Bali,3.8
Bebek Betutu,Kuliner,Bebek berbumbu khas yang dimasak lama.,Gianyar,Bali,4.8
Loloh Cemcem,Kuliner,Minuman herbal dari daun cemcem.,Karangasem,Bali,4.5
Angklung III,Musik,Alat musik bambu khas Sunda yang digetarkan. Varian budaya ke-43.,Bandung,Jawa Barat,4.5
Wayang Golek Baru,Kesenian,Wayang boneka kayu khas Sunda. Varian budaya ke-44.,Bandung,Jawa Barat,4.9
Jaipongan Asli,Tari,Tari energik dengan irama kendang dan gerakan dinamis. Varian budaya ke-45.,Karawang,Jawa Barat,3.7
Tari Topeng Cirebon Klasik,Tari,Tarian topeng dengan karakter khas daerah Cirebon. Varian budaya ke-46.,Cirebon,Jawa Barat,4.9
Seren Taun Modern,Tradisi,Upacara syukur panen masyarakat Sunda. Varian budaya ke-47.,Kuningan,Jawa Barat,3.9
Sisingaan Tradisi,Tradisi,Pertunjukan arak-arakan anak menaiki singa mainan. Varian budaya ke-48.,Subang,Jawa Barat,4.3
Comro Versi A,Kuliner,Gorengan berbahan singkong isi oncom. Varian budaya ke-49.,Bandung,Jawa Barat,3.8
Batik Ciamis Versi B,Kerajinan,Batik khas Ciamis dengan motif flora fauna. Varian budaya ke-50.,Ciamis,Jawa Barat,4.2
Tari Gambyong I,Tari,Tari klasik Jawa dengan gerakan lembut. Varian budaya ke-51.,Surakarta,Jawa Tengah,4.4
Batik Solo II,Kerajinan,Batik dengan motif keraton yang klasik. Varian budaya ke-52.,Solo,Jawa Tengah,5
Tari Lengger III,Tari,Tari Banyumasan dengan iringan gamelan. Varian budaya ke-53.,Banyumas,Jawa Tengah,4
Ebeg Baru,Kesenian,Kuda lumping khas Banyumas. Varian budaya ke-54.,Banyumas,Jawa Tengah,4.8
Wayang Kulit Asli,Kesenian,Pertunjukan bayangan dari boneka kulit. Varian budaya ke-55.,Surakarta,Jawa Tengah,5
Gunungan Klasik,Tradisi,Simbol hasil bumi yang diarak saat Grebeg. Varian budaya ke-56.,Yogyakarta,DI Yogyakarta,4.4
Lumpia Semarang Modern,Kuliner,Lumpia isi rebung khas Semarang. Varian budaya ke-57.,Semarang,Jawa Tengah,3.6
Grebeg Sudiro Tradisi,Tradisi,Perayaan Imlek dan Jawa bersatu. Varian budaya ke-58.,Solo,Jawa Tengah,4.2
Reog Ponorogo Versi A,Kesenian,Pertunjukan dengan topeng barong besar. Varian budaya ke-59.,Ponorogo,Jawa Timur,4.6
Tari Remo Versi B,Tari,Tari penyambutan tamu kehormatan. Varian budaya ke-60.,Jombang,Jawa Timur,5
Ludruk I,Kesenian,Teater tradisional berbahasa Jawa Timuran. Varian budaya ke-61.,Surabaya,Jawa Timur,4.2
Karapan Sapi II,Tradisi,Balap sapi khas Madura. Varian budaya ke-62.,Sumenep,Jawa Timur,4.2
Tari Jaranan Buto III,Tari,Tarian dengan topeng raksasa khas Banyuwangi. Varian budaya ke-63.,Banyuwangi,Jawa Timur,3.7
Sate Madura Baru,Kuliner,Sate ayam/kambing dengan bumbu kacang. Varian budaya ke-64.,Pamekasan,Jawa Timur,4.1
Rujak Cingur Asli,Kuliner,Salad tradisional dengan irisan cingur. Varian budaya ke-65.,Surabaya,Jawa Timur,4.6
Batik Madura Klasik,Kerajinan,Batik berwarna cerah dengan motif khas. Varian budaya ke-66.,Bangkalan,Jawa Timur,4
Debus Modern,Tradisi,Pertunjukan kekebalan tubuh ekstrem. Varian budaya ke-67.,Serang,Banten,3.9
Rampak Bedug Tradisi,Musik,Pertunjukan sinkronisasi bedug besar. Varian budaya ke-68.,Pandeglang,Banten,3.6
Tari Cokek Versi A,Tari,Tari pergaulan khas etnis Tionghoa-Banten. Varian budaya ke-69.,Tangerang,Banten,4.5
Uli Sera Versi B,Kuliner,Makanan khas Baduy dari ketan dan kelapa. Varian budaya ke-70.,Lebak,Banten,4.7
Kue Jojorong I,Kuliner,Kue basah manis dari tepung beras dan gula merah. Varian budaya ke-71.,Pandeglang,Banten,4.8
Tari Bedhaya II,Tari,Tari sakral keraton dengan gerakan lambat. Varian budaya ke-72.,Yogyakarta,DI Yogyakarta,3.9
Wayang Orang III,Kesenian,Pertunjukan wayang yang diperankan oleh manusia. Varian budaya ke-73.,Yogyakarta,DI Yogyakarta,3.6
Batik Jogja Baru,Kerajinan,Batik khas dengan warna hitam putih dan motif keraton. Varian budaya ke-74.,Yogyakarta,DI Yogyakarta,4
Gudeg Asli,Kuliner,Makanan manis dari nangka muda. Varian budaya ke-75.,Yogyakarta,DI Yogyakarta,4.4
Geplak Klasik,Kuliner,Permen kelapa warna-warni khas Jogja. Varian budaya ke-76.,Bantul,DI Yogyakarta,4.2
Tari Kecak Modern,Tari,Tari dengan suara vokal 'cak' tanpa alat musik. Varian budaya ke-77.,Gianyar,Bali,4
Tari Barong Tradisi,Tari,Tari pertarungan kebaikan dan kejahatan. Varian budaya ke-78.,Gianyar,Bali,4.9
Ogoh-ogoh Versi A,Tradisi,Patung raksasa diarak menjelang Nyepi. Varian budaya ke-79.,Denpasar,Bali,4.4
Subak Versi B,Tradisi,Sistem irigasi tradisional Bali berbasis spiritual. Varian budaya ke-80.,Tabanan,Bali,3.9
Canang Sari I,Tradisi,Persembahan harian masyarakat Hindu Bali. Varian budaya ke-81.,Ubud,Bali,3.6
Tari Legong II,Tari,Tari klasik dengan gerakan halus dan rumit. Varian budaya ke-82.,Ubud,Bali,4.7
Bebek Betutu III,Kuliner,Bebek berbumbu khas yang dimasak lama. Varian budaya ke-83.,Gianyar,Bali,4.7
Loloh Cemcem Baru,Kuliner,Minuman herbal dari daun cemcem. Varian budaya ke-84.,Karangasem,Bali,4.8
Angklung Asli,Musik,Alat musik bambu khas Sunda yang digetarkan. Varian budaya ke-85.,Bandung,Jawa Barat,3.9
Wayang Golek Klasik,Kesenian,Wayang boneka kayu khas Sunda. Varian budaya ke-86.,Bandung,Jawa Barat,3.5
Jaipongan Modern,Tari,Tari energik dengan irama kendang dan gerakan dinamis. Varian budaya ke-87.,Karawang,Jawa Barat,4.2
Tari Topeng Cirebon Tradisi,Tari,Tarian topeng dengan karakter khas daerah Cirebon. Varian budaya ke-88.,Cirebon,Jawa Barat,4
Seren Taun Versi A,Tradisi,Upacara syukur panen masyarakat Sunda. Varian budaya ke-89.,Kuningan,Jawa Barat,4
Sisingaan Versi B,Tradisi,Pertunjukan arak-arakan anak menaiki singa mainan. Varian budaya ke-90.,Subang,Jawa Barat,5
Comro I,Kuliner,Gorengan berbahan singkong isi oncom. Varian budaya ke-91.,Bandung,Jawa Barat,3.7
Batik Ciamis II,Kerajinan,Batik khas Ciamis dengan motif flora fauna. Varian budaya ke-92.,Ciamis,Jawa Barat,4.1
Tari Gambyong III,Tari,Tari klasik Jawa dengan gerakan lembut. Varian budaya ke-93.,Surakarta,Jawa Tengah,4
Batik Solo Baru,Kerajinan,Batik dengan motif keraton yang klasik. Varian budaya ke-94.,Solo,Jawa Tengah,4.9
Tari Lengger Asli,Tari,Tari Banyumasan dengan iringan gamelan. Varian budaya ke-95.,Banyumas,Jawa Tengah,3.7
Ebeg Klasik,Kesenian,Kuda lumping khas Banyumas. Varian budaya ke-96.,Banyumas,Jawa Tengah,4.6
Wayang Kulit Modern,Kesenian,Pertunjukan bayangan dari boneka kulit. Varian budaya ke-97.,Surakarta,Jawa Tengah,3.6
Gunungan Tradisi,Tradisi,Simbol hasil bumi yang diarak saat Grebeg. Varian budaya ke-98.,Yogyakarta,DI Yogyakarta,3.8
Lumpia Semarang Versi A,Kuliner,Lumpia isi rebung khas Semarang. Varian budaya ke-99.,Semarang,Jawa Tengah,4.2
Grebeg Sudiro Versi B,Tradisi,Perayaan Imlek dan Jawa bersatu. Varian budaya ke-100.,Solo,Jawa Tengah,4.9
Reog Ponorogo I,Kesenian,Pertunjukan dengan topeng barong besar. Varian budaya ke-101.,Ponorogo,Jawa Timur,4.9
Tari Remo II,Tari,Tari penyambutan tamu kehormatan. Varian budaya ke-102.,Jombang,Jawa Timur,4.4
Ludruk III,Kesenian,Teater tradisional berbahasa Jawa Timuran. Varian budaya ke-103.,Surabaya,Jawa Timur,3.9
Karapan Sapi Baru,Tradisi,Balap sapi khas Madura. Varian budaya ke-104.,Sumenep,Jawa Timur,4.1
Tari Jaranan Buto Asli,Tari,Tarian dengan topeng raksasa khas Banyuwangi. Varian budaya ke-105.,Banyuwangi,Jawa Timur,4.7
Sate Madura Klasik,Kuliner,Sate ayam/kambing dengan bumbu kacang. Varian budaya ke-106.,Pamekasan,Jawa Timur,4.3
Rujak Cingur Modern,Kuliner,Salad tradisional dengan irisan cingur. Varian budaya ke-107.,Surabaya,Jawa Timur,4.5
Batik Madura Tradisi,Kerajinan,Batik berwarna cerah dengan motif khas. Varian budaya ke-108.,Bangkalan,Jawa Timur,4.3
Debus Versi A,Tradisi,Pertunjukan kekebalan tubuh ekstrem. Varian budaya ke-109.,Serang,Banten,5
Rampak Bedug Versi B,Musik,Pertunjukan sinkronisasi bedug besar. Varian budaya ke-110.,Pandeglang,Banten,3.8
Tari Cokek I,Tari,Tari pergaulan khas etnis Tionghoa-Banten. Varian budaya ke-111.,Tangerang,Banten,4.6
Uli Sera II,Kuliner,Makanan khas Baduy dari ketan dan kelapa. Varian budaya ke-112.,Lebak,Banten,4.6
Kue Jojorong III,Kuliner,Kue basah manis dari tepung beras dan gula merah. Varian budaya ke-113.,Pandeglang,Banten,4.9
Tari Bedhaya Baru,Tari,Tari sakral keraton dengan gerakan lambat. Varian budaya ke-114.,Yogyakarta,DI Yogyakarta,3.8
Wayang Orang Asli,Kesenian,Pertunjukan wayang yang diperankan oleh manusia. Varian budaya ke-115.,Yogyakarta,DI Yogyakarta,3.6
Batik Jogja Klasik,Kerajinan,Batik khas dengan warna hitam putih dan motif keraton. Varian budaya ke-116.,Yogyakarta,DI Yogyakarta,4.7
Gudeg Modern,Kuliner,Makanan manis dari nangka muda. Varian budaya ke-117.,Yogyakarta,DI Yogyakarta,4
Geplak Tradisi,Kuliner,Permen kelapa warna-warni khas Jogja. Varian budaya ke-118.,Bantul,DI Yogyakarta,4.6
Tari Kecak Versi A,Tari,Tari dengan suara vokal 'cak' tanpa alat musik. Varian budaya ke-119.,Gianyar,Bali,4.9
Tari Barong Versi B,Tari,Tari pertarungan kebaikan dan kejahatan. Varian budaya ke-120.,Gianyar,Bali,3.9
Ogoh-ogoh I,Tradisi,Patung raksasa diarak menjelang Nyepi. Varian budaya ke-121.,Denpasar,Bali,3.9
Subak II,Tradisi,Sistem irigasi tradisional Bali berbasis spiritual. Varian budaya ke-122.,Tabanan,Bali,4.2
Canang Sari III,Tradisi,Persembahan harian masyarakat Hindu Bali. Varian budaya ke-123.,Ubud,Bali,3.9
Tari Legong Baru,Tari,Tari klasik dengan gerakan halus dan rumit. Varian budaya ke-124.,Ubud,Bali,4.1
Bebek Betutu Asli,Kuliner,Bebek berbumbu khas yang dimasak lama. Varian budaya ke-125.,Gianyar,Bali,4.2
Loloh Cemcem Klasik,Kuliner,Minuman herbal dari daun cemcem. Varian budaya ke-126.,Karangasem,Bali,4.3
Angklung Modern,Musik,Alat musik bambu khas Sunda yang digetarkan. Varian budaya ke-127.,Bandung,Jawa Barat,3.6
Wayang Golek Tradisi,Kesenian,Wayang boneka kayu khas Sunda. Varian budaya ke-128.,Bandung,Jawa Barat,5
Jaipongan Versi A,Tari,Tari energik dengan irama kendang dan gerakan dinamis. Varian budaya ke-129.,Karawang,Jawa Barat,3.8
Tari Topeng Cirebon Versi B,Tari,Tarian topeng dengan karakter khas daerah Cirebon. Varian budaya ke-130.,Cirebon,Jawa Barat,3.6
Seren Taun I,Tradisi,Upacara syukur panen masyarakat Sunda. Varian budaya ke-131.,Kuningan,Jawa Barat,4.3
Sisingaan II,Tradisi,Pertunjukan arak-arakan anak menaiki singa mainan. Varian budaya ke-132.,Subang,Jawa Barat,3.8
Comro III,Kuliner,Gorengan berbahan singkong isi oncom. Varian budaya ke-133.,Bandung,Jawa Barat,4.5
Batik Ciamis Baru,Kerajinan,Batik khas Ciamis dengan motif flora fauna. Varian budaya ke-134.,Ciamis,Jawa Barat,3.9
Tari Gambyong Asli,Tari,Tari klasik Jawa dengan gerakan lembut. Varian budaya ke-135.,Surakarta,Jawa Tengah,4.4
Batik Solo Klasik,Kerajinan,Batik dengan motif keraton yang klasik. Varian budaya ke-136.,Solo,Jawa Tengah,4.2
Tari Lengger Modern,Tari,Tari Banyumasan dengan iringan gamelan. Varian budaya ke-137.,Banyumas,Jawa Tengah,3.6
Ebeg Tradisi,Kesenian,Kuda lumping khas Banyumas. Varian budaya ke-138.,Banyumas,Jawa Tengah,4.7
Wayang Kulit Versi A,Kesenian,Pertunjukan bayangan dari boneka kulit. Varian budaya ke-139.,Surakarta,Jawa Tengah,4.6
Gunungan Versi B,Tradisi,Simbol hasil bumi yang diarak saat Grebeg. Varian budaya ke-140.,Yogyakarta,DI Yogyakarta,3.9
Lumpia Semarang I,Kuliner,Lumpia isi rebung khas Semarang. Varian budaya ke-141.,Semarang,Jawa Tengah,4.9
Grebeg Sudiro II,Tradisi,Perayaan Imlek dan Jawa bersatu. Varian budaya ke-142.,Solo,Jawa Tengah,3.9
Reog Ponorogo III,Kesenian,Pertunjukan dengan topeng barong besar. Varian budaya ke-143.,Ponorogo,Jawa Timur,4.3
Tari Remo Baru,Tari,Tari penyambutan tamu kehormatan. Varian budaya ke-144.,Jombang,Jawa Timur,4.3
Ludruk Asli,Kesenian,Teater tradisional berbahasa Jawa Timuran. Varian budaya ke-145.,Surabaya,Jawa Timur,4
Karapan Sapi Klasik,Tradisi,Balap sapi khas Madura. Varian budaya ke-146.,Sumenep,Jawa Timur,4.7
Tari Jaranan Buto Modern,Tari,Tarian dengan topeng raksasa khas Banyuwangi. Varian budaya ke-147.,Banyuwangi,Jawa Timur,4.9
Sate Madura Tradisi,Kuliner,Sate ayam/kambing dengan bumbu kacang. Varian budaya ke-148.,Pamekasan,Jawa Timur,3.7
Rujak Cingur Versi A,Kuliner,Salad tradisional dengan irisan cingur. Varian budaya ke-149.,Surabaya,Jawa Timur,4.3
Batik Madura Versi B,Kerajinan,Batik berwarna cerah dengan motif khas. Varian budaya ke-150.,Bangkalan,Jawa Timur,3.7
Debus I,Tradisi,Pertunjukan kekebalan tubuh ekstrem. Varian budaya ke-151.,Serang,Banten,4
Rampak Bedug II,Musik,Pertunjukan sinkronisasi bedug besar. Varian budaya ke-152.,Pandeglang,Banten,3.6
Tari Cokek III,Tari,Tari pergaulan khas etnis Tionghoa-Banten. Varian budaya ke-153.,Tangerang,Banten,4.4
Uli Sera Baru,Kuliner,Makanan khas Baduy dari ketan dan kelapa. Varian budaya ke-154.,Lebak,Banten,4.1
Kue Jojorong Asli,Kuliner,Kue basah manis dari tepung beras dan gula merah. Varian budaya ke-155.,Pandeglang,Banten,4.6
Tari Bedhaya Klasik,Tari,Tari sakral keraton dengan gerakan lambat. Varian budaya ke-156.,Yogyakarta,DI Yogyakarta,4.1
Wayang Orang Modern,Kesenian,Pertunjukan wayang yang diperankan oleh manusia. Varian budaya ke-157.,Yogyakarta,DI Yogyakarta,3.8
Batik Jogja Tradisi,Kerajinan,Batik khas dengan warna hitam putih dan motif keraton. Varian budaya ke-158.,Yogyakarta,DI Yogyakarta,3.6
Gudeg Versi A,Kuliner,Makanan manis dari nangka muda. Varian budaya ke-159.,Yogyakarta,DI Yogyakarta,4.2
Geplak Versi B,Kuliner,Permen kelapa warna-warni khas Jogja. Varian budaya ke-160.,Bantul,DI Yogyakarta,4.9
Tari Kecak I,Tari,Tari dengan suara vokal 'cak' tanpa alat musik. Varian budaya ke-161.,Gianyar,Bali,4.4
Tari Barong II,Tari,Tari pertarungan kebaikan dan kejahatan. Varian budaya ke-162.,Gianyar,Bali,4.6
Ogoh-ogoh III,Tradisi,Patung raksasa diarak menjelang Nyepi. Varian budaya ke-163.,Denpasar,Bali,4.2
Subak Baru,Tradisi,Sistem irigasi tradisional Bali berbasis spiritual. Varian budaya ke-164.,Tabanan,Bali,4.8
Canang Sari Asli,Tradisi,Persembahan harian masyarakat Hindu Bali. Varian budaya ke-165.,Ubud,Bali,3.9
Tari Legong Klasik,Tari,Tari klasik dengan gerakan halus dan rumit. Varian budaya ke-166.,Ubud,Bali,3.5
Bebek Betutu Modern,Kuliner,Bebek berbumbu khas yang dimasak lama. Varian budaya ke-167.,Gianyar,Bali,4.5
Loloh Cemcem Tradisi,Kuliner,Minuman herbal dari daun cemcem. Varian budaya ke-168.,Karangasem,Bali,3.7
Angklung Versi A,Musik,Alat musik bambu khas Sunda yang digetarkan. Varian budaya ke-169.,Bandung,Jawa Barat,3.9
Wayang Golek Versi B,Kesenian,Wayang boneka kayu khas Sunda. Varian budaya ke-170.,Bandung,Jawa Barat,4.8
Jaipongan I,Tari,Tari energik dengan irama kendang dan gerakan dinamis. Varian budaya ke-171.,Karawang,Jawa Barat,4.1
Tari Topeng Cirebon II,Tari,Tarian topeng dengan karakter khas daerah Cirebon. Varian budaya ke-172.,Cirebon,Jawa Barat,4.9
Seren Taun III,Tradisi,Upacara syukur panen masyarakat Sunda. Varian budaya ke-173.,Kuningan,Jawa Barat,4.6
Sisingaan Baru,Tradisi,Pertunjukan arak-arakan anak menaiki singa mainan. Varian budaya ke-174.,Subang,Jawa Barat,3.6
Comro Asli,Kuliner,Gorengan berbahan singkong isi oncom. Varian budaya ke-175.,Bandung,Jawa Barat,4.6
Batik Ciamis Klasik,Kerajinan,Batik khas Ciamis dengan motif flora fauna. Varian budaya ke-176.,Ciamis,Jawa Barat,4.6
Tari Gambyong Modern,Tari,Tari klasik Jawa dengan gerakan lembut. Varian budaya ke-177.,Surakarta,Jawa Tengah,4.4
Batik Solo Tradisi,Kerajinan,Batik dengan motif keraton yang klasik. Varian budaya ke-178.,Solo,Jawa Tengah,4.6
Tari Lengger Versi A,Tari,Tari Banyumasan dengan iringan gamelan. Varian budaya ke-179.,Banyumas,Jawa Tengah,4.2
Ebeg Versi B,Kesenian,Kuda lumping khas Banyumas. Varian budaya ke-180.,Banyumas,Jawa Tengah,3.6
Wayang Kulit I,Kesenian,Pertunjukan bayangan dari boneka kulit. Varian budaya ke-181.,Surakarta,Jawa Tengah,4.5
Gunungan II,Tradisi,Simbol hasil bumi yang diarak saat Grebeg. Varian budaya ke-182.,Yogyakarta,DI Yogyakarta,5
Lumpia Semarang III,Kuliner,Lumpia isi rebung khas Semarang. Varian budaya ke-183.,Semarang,Jawa Tengah,3.6
Grebeg Sudiro Baru,Tradisi,Perayaan Imlek dan Jawa bersatu. Varian budaya ke-184.,Solo,Jawa Tengah,5
Reog Ponorogo Asli,Kesenian,Pertunjukan dengan topeng barong besar. Varian budaya ke-185.,Ponorogo,Jawa Timur,3.9
Tari Remo Klasik,Tari,Tari penyambutan tamu kehormatan. Varian budaya ke-186.,Jombang,Jawa Timur,5
Ludruk Modern,Kesenian,Teater tradisional berbahasa Jawa Timuran. Varian budaya ke-187.,Surabaya,Jawa Timur,4.5
Karapan Sapi Tradisi,Tradisi,Balap sapi khas Madura. Varian budaya ke-188.,Sumenep,Jawa Timur,4.9
Tari Jaranan Buto Versi A,Tari,Tarian dengan topeng raksasa khas Banyuwangi. Varian budaya ke-189.,Banyuwangi,Jawa Timur,4.6
Sate Madura Versi B,Kuliner,Sate ayam/kambing dengan bumbu kacang. Varian budaya ke-190.,Pamekasan,Jawa Timur,4.6
Rujak Cingur I,Kuliner,Salad tradisional dengan irisan cingur. Varian budaya ke-191.,Surabaya,Jawa Timur,3.5
Batik Madura II,Kerajinan,Batik berwarna cerah dengan motif khas. Varian budaya ke-192.,Bangkalan,Jawa Timur,4.1
Debus III,Tradisi,Pertunjukan kekebalan tubuh ekstrem. Varian budaya ke-193.,Serang,Banten,3.9
Rampak Bedug Baru,Musik,Pertunjukan sinkronisasi bedug besar. Varian budaya ke-194.,Pandeglang,Banten,4.5
Tari Cokek Asli,Tari,Tari pergaulan khas etnis Tionghoa-Banten. Varian budaya ke-195.,Tangerang,Banten,4.1
Uli Sera Klasik,Kuliner,Makanan khas Baduy dari ketan dan kelapa. Varian budaya ke-196.,Lebak,Banten,4.6
Kue Jojorong Modern,Kuliner,Kue basah manis dari tepung beras dan gula merah. Varian budaya ke-197.,Pandeglang,Banten,3.6
Tari Bedhaya Tradisi,Tari,Tari sakral keraton dengan gerakan lambat. Varian budaya ke-198.,Yogyakarta,DI Yogyakarta,3.6
Wayang Orang Versi A,Kesenian,Pertunjukan wayang yang diperankan oleh manusia. Varian budaya ke-199.,Yogyakarta,DI Yogyakarta,3.8
Batik Jogja Versi B,Kerajinan,Batik khas dengan warna hitam putih dan motif keraton. Varian budaya ke-200.,Yogyakarta,DI Yogyakarta,3.8
Gudeg I,Kuliner,Makanan manis dari nangka muda. Varian budaya ke-201.,Yogyakarta,DI Yogyakarta,4.5
Geplak II,Kuliner,Permen kelapa warna-warni khas Jogja. Varian budaya ke-202.,Bantul,DI Yogyakarta,5
Tari Kecak III,Tari,Tari dengan suara vokal 'cak' tanpa alat musik. Varian budaya ke-203.,Gianyar,Bali,4
Tari Barong Baru,Tari,Tari pertarungan kebaikan dan kejahatan. Varian budaya ke-204.,Gianyar,Bali,3.7
Ogoh-ogoh Asli,Tradisi,Patung raksasa diarak menjelang Nyepi. Varian budaya ke-205.,Denpasar,Bali,4
Subak Klasik,Tradisi,Sistem irigasi tradisional Bali berbasis spiritual. Varian budaya ke-206.,Tabanan,Bali,4.2
Canang Sari Modern,Tradisi,Persembahan harian masyarakat Hindu Bali. Varian budaya ke-207.,Ubud,Bali,4.8
Tari Legong Tradisi,Tari,Tari klasik dengan gerakan halus dan rumit. Varian budaya ke-208.,Ubud,Bali,3.8
Bebek Betutu Versi A,Kuliner,Bebek berbumbu khas yang dimasak lama. Varian budaya ke-209.,Gianyar,Bali,4.8
Loloh Cemcem Versi B,Kuliner,Minuman herbal dari daun cemcem. Varian budaya ke-210.,Karangasem,Bali,3.7
Angklung I,Musik,Alat musik bambu khas Sunda yang digetarkan. Varian budaya ke-211.,Bandung,Jawa Barat,3.9
Wayang Golek II,Kesenian,Wayang boneka kayu khas Sunda. Varian budaya ke-212.,Bandung,Jawa Barat,3.8
Jaipongan III,Tari,Tari energik dengan irama kendang dan gerakan dinamis. Varian budaya ke-213.,Karawang,Jawa Barat,4.1
Tari Topeng Cirebon Baru,Tari,Tarian topeng dengan karakter khas daerah Cirebon. Varian budaya ke-214.,Cirebon,Jawa Barat,4
Seren Taun Asli,Tradisi,Upacara syukur panen masyarakat Sunda. Varian budaya ke-215.,Kuningan,Jawa Barat,4.8
Sisingaan Klasik,Tradisi,Pertunjukan arak-arakan anak menaiki singa mainan. Varian budaya ke-216.,Subang,Jawa Barat,3.6
Comro Modern,Kuliner,Gorengan berbahan singkong isi oncom. Varian budaya ke-217.,Bandung,Jawa Barat,3.6
Batik Ciamis Tradisi,Kerajinan,Batik khas Ciamis dengan motif flora fauna. Varian budaya ke-218.,Ciamis,Jawa Barat,4.1
Tari Gambyong Versi A,Tari,Tari klasik Jawa dengan gerakan lembut. Varian budaya ke-219.,Surakarta,Jawa Tengah,4.9
Batik Solo Versi B,Kerajinan,Batik dengan motif keraton yang klasik. Varian budaya ke-220.,Solo,Jawa Tengah,4.7
Tari Lengger I,Tari,Tari Banyumasan dengan iringan gamelan. Varian budaya ke-221.,Banyumas,Jawa Tengah,4
Ebeg II,Kesenian,Kuda lumping khas Banyumas. Varian budaya ke-222.,Banyumas,Jawa Tengah,4.5
